ID,Title,Price,Brand,Rating,Reviews,Material,Color,AssemblyNeeded,MadeIn,Warranty Days,Image,Category/Class
17543065,Grain Wood Furniture Shaker Solid Wood Panel Platform Bedby Grain Wood Furniture,362.81 EUR,Grain Wood Furniture,4.6,492,Wood,"Black,
Brown,
Tan",Yes,Brazil,90,https://ak1.ostkcdn.com/images/products/is/images/direct/e201ee73e78fd40c57eb4868be259913c0ac5ff9/Grain-Wood-Furniture-Shaker-Panel-Queen-Solid-Wood-Platform-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
15123764,Giselle Antique Dark Bronze Iron Metal Bed by iNSPIRE Q Classicby iNSPIRE Q,328.81 EUR,iNSPIRE Q,4.7,4318,Metal,Brown,Yes,China,90,https://ak1.ostkcdn.com/images/products/is/images/direct/ec0ec23f821a04478f1865a0211652a5e5f9fcd5/Giselle-Antique-Graceful-Dark-Bronze-Victorian-Iron-Bed-by-iNSPIRE-Q-Classic.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
38194691,Priage by ZINUS Mid Century Wood Platform Bed Frameby Zinus,218.21 EUR,Zinus,4.7,94,Wood,Brown,Yes,Vietnam,1825,https://ak1.ostkcdn.com/images/products/is/images/direct/1a9e1dc549b11c36bcebb41fa38aa87ce80be17d/Priage-by-ZINUS-Mid-Century-Wood-Platform-Bed-Frame.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
36323649,Harmony Daybed with King Conversion,438.61 EUR,No Info,3.7,90,Wood,"Grey,
White",Yes,Brazil,365,https://ak1.ostkcdn.com/images/products/is/images/direct/e0838d00ea9e9c900a0e998ad310521e4f555945/Harmony-Daybed-with-King-Conversion.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
22502288,Priage by Zinus Antique Espresso Solid Wood Platform Bedby Zinus,330.04 EUR,Zinus,4.7,683,Wood,Brown,Yes,China,1825,https://ak1.ostkcdn.com/images/products/16121838/Priage-by-Zinus-Antique-Espresso-Solid-Wood-Platform-Bed-with-Headboard-8784f1ad-a467-4ea8-8dbb-25589e743e40_600.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
10687567,Prepac Mate's 6-drawer Platform Storage Bedby Prepac,474.01 EUR,Prepac,3.9,289,Wood,"Black,
Grey",Yes,Canada,1825,https://ak1.ostkcdn.com/images/products/is/images/direct/76528204e7599bc8abbc335e35fec20c86610db5/Prepac-Mate%27s-Platform-Storage-Bed-with-6-Drawers.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
35867804,"PU Upholstered Platform Bed, Twin, Pink",157.68 EUR,No Info,0,0,Upholstered,Pink,Yes,China,0,https://ak1.ostkcdn.com/images/products/31102305/PU-Upholstered-Platform-Bed-Twin-Pink-ebb8003e-ee9c-4c85-b388-ebcddb97cffe_600.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
38202281,Brookside Tara Square Tufted Upholstered Platform Bedby Brookside,158.42 EUR,Brookside,3.8,257,Wood,"Beige,
Black,
Blue,
Cream,
Grey",Yes,Malaysia,730,https://ak1.ostkcdn.com/images/products/is/images/direct/61141aac4c39eb90e24011d5ddce0ac8ccc8efd6/Brookside-Tara-Square-Tufted-Upholstered-Platform-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
39972721,Somette Boho Daybed with Additional Pop Up Bed,576.01 EUR,No Info,4.5,28,Wood,"Brown,
White",Yes,Indonesia,365,https://ak1.ostkcdn.com/images/products/is/images/direct/89f46032cbfe4d5f413e6dbfd16f0b82a959b333/Boho-Daybed-with-Additional-Pop-Up-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
16301475,Giselle Victorian Iron Metal Bed by iNSPIRE Q Classicby iNSPIRE Q,289.69 EUR,iNSPIRE Q,4.6,1299,Metal,"Black,
Grey,
White",Yes,China,90,https://ak1.ostkcdn.com/images/products/is/images/direct/30686752a3050069e929d37841816e39ddfa6833/Giselle-Graceful-Lines-Victorian-Iron-Metal-Bed-by-iNSPIRE-Q-Classic.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
